probe	class
296	CDCP1	C4
297	AGR2	C4
298	FECH	C4
299	GSDMB	C4
300	ERAP1	C4
301	DMKN	C4
302	TRIM15	C4
303	FOXA1	C4
304	MRPS21	C4
305	FBXL16	C4
306	TRIM16	C4
307	SEC11C	C4
308	TSPO	C4
309	TRIM5	C4
310	RAB38	C4
311	SLC38A5	C4
312	CADPS2	C4
313	KCNK1	C4
314	TSPAN13	C4
315	ALDH16A1	C4
316	RPS27L	C4
317	KIF13A	C4
318	TRNP1	C4
319	ENOSF1	C4
320	HSBP1L1	C4
321	SP140L	C4
322	ARHGAP4	C4
323	HSD17B1	C4
324	FBXL15	C4
325	THOC1	C4
326	NQO2	C4
327	HOXC10	C4
328	CBR1	C4
329	CNNM4	C4
330	PARVB	C4
331	TNFRSF10B	C4
332	HDHD2	C4
333	SOX2	C4
334	FKBP5	C4
335	RAC3	C4
